point_id,obj_id,obj_type_id,run_type_id,nuMeta,obj_size,C,Na,P,S,K,Ca,Fe,Histone.H3,Total.Tau,MAP2,Cathepsin.D,Podoplanin,CD56,SV2A,HSP60,CollagenIV,Ki.67,Amyloid.A,VAMP2,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Gephyrin,X8OHG,Ta,Au,Iba1,CD45,HLA.DR,GFAP,GlnSyn,CD31,Endoglin_CD105,Fibrinogen,SMA,GLUT1,vWF,Albumin,CD36,CD44,FlowSOM_ids,Meta
1,1,cell,MFG_3x3,1,2467,0,0,0.34414,0.21524,93.211,66.724,6.394,0.9092,0.75395,0.20632,0.034049,0,0.1443,0.026753,0.024321,0.01743,0,0.055533,0.051074,0.010944,0.036887,0.0056749,0.11836,0.033239,0.022294,0.11634,0.29591,0.50061,0.480213655,0,0.358718914,0.581774546,0.641101868,0,0.478157064,0.521696248,0,0.446484848,0,0.530479148,0.819715371,0.653220736,80,27
1,2,cell,MFG_3x3,4,4844,0,0,0.10859,0.24876,140.27,91.795,4.5799,0.53819,1.7108,0.32225,0.046449,0,0.25289,0.075557,0.028282,0.00041288,0,0.020644,0.38873,0.15504,0.052849,0.010322,0.36726,0.05512,0,0.59723,0.25702,0.78427,0.570898053,0.385335816,0.647326564,0.70368532,0.623804912,0.368197947,0.357479238,0,0.187405381,0,0,0.236853866,0,0,29,4
1,3,cell,MFG_3x3,4,4088,0,0,0.089041,0.3114,171.7,111.22,0.65142,0.16536,1.1512,0.28058,0.019814,0,0.20083,0.055528,0,0,0,0.015166,0.47896,0.0014677,0.044765,0.00048924,0.3569,0.05773,0,0.29183,0.33953,1.146,0.194912288,0,0,0,0.396876496,0,0,0,0,0,0,0.197142881,0,0,1,1
1,4,cell,MFG_3x3,1,3252,0,0,0.13561,0.20111,113.78,73.36,2.7429,0.73739,0.49785,0.18419,0,0,0.13961,0.031365,0,0.082411,0,0.038438,0.16697,0,0.026445,0,0.17835,0.04305,0.0092251,0.24139,0.15006,0.49416,0.32535613,0,0.200671372,0.171719626,0.595481572,0,0.467338143,0.657577974,0,0.678564703,0.411556612,0.366742352,0,0,60,16
1,5,cell,MFG_3x3,1,3351,0,0,0.11608,0.17845,101.59,65.749,0.44643,0.31752,0.89764,0.19039,0,0,0.15518,0.035512,0,0.092808,0,0.082065,0.46195,0.025366,0.03014,0,0.33721,0.046852,0,0,0.21426,0.42823,0,0,0,0.575313357,0.501101265,0,0,0.592277408,0,0.542111285,0,0.554911319,0.432851566,0.474074586,70,21
1,6,cell,MFG_3x3,4,5239,0,0,0.083222,0.33041,173.58,114.36,0.96965,0.12063,1.1172,0.27925,0.0032449,0,0.18343,0.058026,0,0,0,0.019469,0.43844,0.0022905,0.044283,0.0013361,0.30578,0.062416,0,0.5837,0.40924,1.2363,0.220285646,0.382619342,0,0.335364101,0.425578075,0,0,0,0,0,0,0.207581248,0,0,3,1
1,7,cell,MFG_3x3,3,7390,0,0,0.081326,0.31719,157.69,106.3,3.195,0.68674,1.9558,0.31028,0.011367,0,0.26482,0.081326,0.0052774,0,0,0.019621,0.53627,0.024357,0.054939,0.0037889,0.42165,0.056834,0.029093,0.65047,0.37023,1.1465,0.195531164,0.313753923,0.255070321,0,0.437864298,0.505872565,0.217529781,0,0.258417072,0,0,0.259551431,0.315007436,0.329544568,42,9
1,8,cell,MFG_3x3,2,10158,0,0,0.095885,0.32851,158.39,108.49,3.347,1.1127,1.5025,0.36159,0.12365,0,0.23449,0.071175,0.010337,0,0,0.022248,0.27633,0.022445,0.043217,0.0087616,0.26147,0.059756,0.011124,1.4664,0.42882,1.1789,0.459822928,0.393625291,0.675226651,0.274435098,0.470305716,0.593504326,0.401396614,0,0.464834494,0,0,0.209361521,0,0,64,18
1,9,cell,MFG_3x3,3,23004,0,0,0.054251,0.31608,149.67,105.8,1.1451,0.17036,1.288,0.38445,0.24787,0,0.21831,0.059207,0.024387,0.056381,0.00026082,0.020692,0.32516,0.029343,0.049165,0.0094331,0.26717,0.065163,0,1.328,0.41032,1.1671,0.816560262,0.802784973,0.753166828,0.192723544,0.364986832,0.738131425,0.408641581,0.094772184,0.364702092,0,0,0.187976401,0.337357146,0.083166147,94,23
1,10,cell,MFG_3x3,4,17506,0,0,0.072261,0.35228,161.51,113.64,1.7793,0.32606,1.4538,0.35222,0.032103,0,0.21141,0.062836,0.012167,0.0075974,0,0.018508,0.48343,0.0079401,0.046898,0.0037701,0.3436,0.064492,0,0.88084,0.47007,1.2492,0.337591805,0.281689146,0.494735379,0.312682237,0.407771755,0.239929968,0,0,0.366361804,0.172855967,0,0.216940897,0.240849391,0.174215243,30,4
1,11,cell,MFG_3x3,1,5889,0,0,0.098998,0.32773,156.21,107.75,3.3247,1.074,0.70284,0.23467,0.014773,0,0.14349,0.032603,0.0015283,0.1749,0,0.067753,0.11479,0.0078112,0.02615,0.00016981,0.15877,0.059093,0,0.076753,0.34896,1.0357,0.394564792,0,0,0.497363785,0.610359837,0.192566334,0.726094741,0.581784475,0.335895461,0.94573829,0.456646327,0.434586003,0.346306907,0.188860946,70,21
1,12,cell,MFG_3x3,2,10731,0,0,0.096729,0.34396,170.81,113.56,2.6203,0.77337,1.3085,0.30267,0.062622,0,0.18871,0.077439,0.067748,0,0,0.021713,0.39232,0.017519,0.045755,0.038673,0.43742,0.07073,0,0.69882,0.38682,1.1487,0.385918408,0.340567179,0.702659732,0.474225623,0.907793624,0.492586115,0.334347693,0,0.32291659,0,0.379093067,0.239053349,0,0,66,19
1,13,cell,MFG_3x3,3,19743,0,0,0.059667,0.381,153.11,111.38,2.638,0.42071,1.015,0.3658,0.13995,0.0041027,0.18584,0.046751,0.024566,0.043205,0.00045586,0.02178,0.20397,0.034392,0.048321,0.0036469,0.1904,0.059869,0,1.3345,0.37147,1.0952,0.592047325,0.570613149,0.683913776,0.442669851,0.274605594,0.619735839,0.391258216,0.171782492,0.407814462,0,0,0.154012809,0.380434363,0.174988784,84,23
1,14,cell,MFG_3x3,3,11088,0,0,0.09154,0.35101,160.64,111.41,3.5685,0.94183,1.4419,0.41008,0.12338,0,0.20545,0.069174,0.015332,0.030123,0.00090188,0.023088,0.29022,0.039683,0.05312,0.0046898,0.21717,0.06268,0,1.1589,0.43137,1.1673,0.552345242,0.492003658,0.647103507,0.225780759,0.314782671,0.621337537,0.382882786,0,0.466617984,0,0,0.152340405,0.299852406,0,84,23
1,15,cell,MFG_3x3,2,9627,0,0,0.094941,0.35224,165.81,113.23,2.0559,1.0117,1.1164,0.32575,0.1422,0,0.21647,0.075205,0.076659,0.021294,0.00010387,0.024826,0.40334,0.014542,0.052664,0.03324,0.37281,0.073128,0,0.67051,0.41809,1.1268,0.440181061,0.486516543,0.655113487,0.71141775,0.875224334,0.614026464,0.318550091,0,0.32113339,0,0.458946278,0.238261119,0.336519315,0,76,24
1,16,cell,MFG_3x3,2,13024,0,0,0.092445,0.3469,166.77,113.6,3.4152,0.72075,1.1083,0.35396,0.096821,0,0.17445,0.056741,0.017122,0.03125,0.00061425,0.021959,0.16516,0.013206,0.044994,0.0063729,0.18013,0.061502,0,1.4768,0.38014,1.1001,0.420434455,0.338554647,0.759349349,0.40424952,0.482945229,0.46801607,0.199701916,0,0.305667365,0,0,0.126645913,0.288436302,0,64,18
1,17,cell,MFG_3x3,1,5241,0,0,0.11181,0.29861,140.81,99.872,2.6697,1.4192,0.62469,0.21732,0,0,0.13108,0.033772,0.0089678,0.21504,0,0.19233,0.092349,0.00038161,0.027857,0.00095402,0.15264,0.053234,0.010876,0.11048,0.24079,0.8029,0.27241155,0.249618511,0.332531041,0.237245758,0.656509257,0.408566485,0.873431191,0.740728002,0.253143322,1.09597113,0.814087435,0.550474989,0.601640548,0.398069886,80,27
1,18,cell,MFG_3x3,1,5346,0,0,0.10831,0.35578,151.84,104.04,2.1541,0.97643,0.82922,0.24766,0,0,0.156,0.037785,0.0074822,0.1807,0,0.10438,0.18743,0.0044893,0.034418,0,0.22989,0.050692,0,0.11429,0.28302,0.83726,0,0,0,0,0.614652345,0.44562456,0.927095123,0.674497853,0,0.984409682,0.53340437,0.462822829,0,0.317994905,70,21
1,19,cell,MFG_3x3,3,5692,0,0,0.091883,0.34083,163.72,109.02,5.9283,1.2022,2.0608,0.33046,0.023717,0,0.23419,0.097154,0.030745,0.011771,0,0.026177,0.47189,0.032677,0.042516,0.0079058,0.409,0.059206,0,0.36683,0.35137,1.0857,0.424906326,0.385489472,0.220854654,0.251519585,0.578213522,0.327393602,0.193893409,0,0.398916315,0.229591919,0,0.226940385,0,0,62,17
1,20,cell,MFG_3x3,3,6355,0,0,0.086546,0.33942,160.88,108.47,4.7199,0.79434,1.1912,0.3229,0.024076,0.024862,0.19921,0.086861,0.062785,0.098977,0.00015736,0.076947,0.46042,0.0091267,0.055232,0.0059795,0.41699,0.064516,0.013061,0.56774,0.31613,1.0046,1.00751461,0.930456155,0.916223603,0.368104661,0.576547768,0.836636622,0.712211597,0.6955759,0.46978856,0.758459725,0.395695761,0.40848737,0.517984295,0.244218371,97,30
1,21,cell,MFG_3x3,1,2598,0,0,0.098152,0.30831,119.55,83.903,1.1674,0.78907,1.1932,0.29022,0,0.060431,0.20246,0.068514,0.0096228,0.14203,0,0.28368,0.35296,0.017321,0.042725,0.008853,0.33256,0.076982,0.04311,0.078522,0.38645,0.79946,0,0,0.392982047,0.453862123,0.562860844,0,0.604528808,0.830898334,0.355680979,0.661921138,0.661391806,0.736805929,0.865593124,0.793069465,100,29
1,22,cell,MFG_3x3,3,10473,0,0,0.065024,0.36398,165.73,117.52,1.6119,0.22486,1.8334,0.3425,0.068462,0,0.26124,0.10054,0.011267,0.018715,0,0.021484,0.83682,0.02072,0.064356,0.0048697,0.60976,0.067507,0,0.52449,0.3741,1.0779,0.480890921,0.536141366,0.32750707,0.443550455,0.420551972,0.348043637,0.199360317,0,0.281573304,0,0,0.269531497,0.226869639,0,62,17
1,23,cell,MFG_3x3,3,7038,0,0,0.10074,0.35095,163.19,111.96,3.9851,1.6459,1.4808,0.343,0.064365,0,0.20219,0.072038,0.037369,0.045894,0,0.028843,0.3177,0.055129,0.050867,0.0038363,0.23771,0.061949,0,0.79028,0.3241,1.1121,0.590618926,0.477499697,0.393620061,0.327404559,0.625867303,0.61139413,0.405777962,0,0.613606866,0.327652065,0,0.262893935,0,0,74,23
1,24,cell,MFG_3x3,3,2227,0,0,0.06062,0.348,156.92,109.07,3.1473,0.79075,1.1289,0.31657,0.030085,0,0.21105,0.081275,0.030534,0.20117,0.00044903,0.028738,0.54243,0.028738,0.047149,0.0044903,0.43467,0.063763,0,0.36507,0.29457,1.0148,0.906627951,0.822476818,0.879569962,0.245457192,0.653168185,0.587697496,0,0,0.267251731,0,0,0.278344916,0,0,93,22
1,25,cell,MFG_3x3,4,14547,0,0,0.075411,0.36234,170.43,115.8,2.4872,0.3587,1.0549,0.30707,0.047226,0.0086616,0.17509,0.03774,0.0062556,0.0083179,0,0.020417,0.27243,0.019042,0.03994,0.0028185,0.23214,0.058844,0,1.1362,0.38015,1.184,0.472216018,0.322756435,0.508226105,0.463999622,0.372076435,0.316812406,0,0,0.329572962,0,0,0.215773517,0.140984153,0,30,4
1,26,cell,MFG_3x3,2,5784,0,0,0.082988,0.42704,159.57,114.93,4.6898,0.40422,1.2588,0.32175,0.029737,0,0.21629,0.082815,0.015733,0.01435,0,0.022303,0.49499,0.01677,0.055844,0.011065,0.44156,0.065007,0,0.67254,0.33281,0.94191,0.189487882,0.355951413,0.551900679,0.38310157,0.640831537,0.325648285,0.267445648,0,0,0,0,0.540456513,0.558112567,0.301602728,38,8
1,27,cell,MFG_3x3,3,6238,0,0,0.093299,0.37736,139.35,99.645,4.949,1.3479,1.5329,0.3421,0.09378,0,0.24896,0.07278,0.038314,0.052581,0,0.027413,0.28823,0.059474,0.051459,0.019878,0.28182,0.062199,0,0.46217,0.23052,0.78374,0.545768182,0.62408029,0.536552231,0.18110076,0.633569249,0.72487678,0.430555822,0.156548923,0.527176992,0.564769428,0.284188596,0.587224493,0.513060649,0.309606782,97,30
1,28,cell,MFG_3x3,3,6187,0,0,0.080006,0.35478,163.7,110.67,7.0076,1.065,1.1831,0.37563,0.080491,0,0.19929,0.053823,0.028608,0.033781,0,0.024568,0.14046,0.017133,0.046711,0.004364,0.15436,0.062712,0.0032326,1.2806,0.31647,1.0556,0.593368575,0.472372874,0.731971196,0.361505638,0.421747956,0.568272083,0.215870645,0,0.409578996,0,0,0.548232595,0.437005866,0.302881416,84,23
1,29,cell,MFG_3x3,2,3240,0,0,0.056481,0.36327,145.26,102.92,3.0546,0.19722,2.2154,0.43889,0.23086,0,0.29537,0.11204,0.14599,0.033642,0,0.024074,0.60216,0.18858,0.067284,0.12006,0.65741,0.1108,0,1.0676,0.24475,0.83148,0.752872635,0.762197554,0.890282201,0.442087852,1.07905129,0.81850362,0.572680459,0,0.358100652,0,0.699640604,0.264511043,0,0,76,24
1,30,cell,MFG_3x3,2,7641,0,0,0.054181,0.38594,148.1,107.41,1.4675,0.23518,1.9225,0.37574,0.11556,0,0.28779,0.10365,0.082057,0.0094229,0,0.024081,0.73367,0.060202,0.062557,0.052349,0.66222,0.081796,0,0.48816,0.34119,0.99568,0.401810067,0.568250023,0.615095521,0.405763734,0.861594703,0.453971218,0.336229995,0,0.408469457,0,0.560884969,0.290531204,0.37222173,0,66,19
1,31,cell,MFG_3x3,3,3078,0,0,0.064003,0.52729,146.22,114.14,12.525,0.062378,2.4038,0.3577,0.062378,0,0.34405,0.12216,0.020793,0.078622,0.0077973,0.023717,1.2307,0.070825,0.089344,0.018843,0.8434,0.079272,0,0.023392,0.37394,1.0156,0.46197233,0.686189766,0,0.373641574,0.566223627,0.408784697,0.223958098,0,0.239921472,0,0,0.40624993,0.34122864,0,61,17
1,32,cell,MFG_3x3,2,2402,0,0,0.14904,0.602,108.54,120.84,51.211,0.4055,1.8643,0.69692,0.49209,0.042465,0.37219,0.2169,0.12281,0.37427,0.31349,0.10491,1.062,0.25062,0.16236,0.11074,0.68276,0.082848,0.42465,0,0.35096,0.65404,0.639991664,1.400829906,0.944441216,0.820239164,0.63758329,1.551314271,1.235450966,0.623805141,0,0.387653318,0.72272491,0.980164461,1.841560505,1.28343089,98,28
1,33,cell,MFG_3x3,3,5237,0,0,0.093756,0.44033,87.139,98.445,34.657,0.48787,1.7651,0.56635,0.44319,0.016613,0.31869,0.15677,0.085927,0.27611,0.1814,0.08039,0.8291,0.173,0.1224,0.048119,0.60073,0.072179,0.23277,0.37846,0.21596,0.47546,0.828892075,1.1970436,0.90761783,0.727594436,0.498064213,1.406829294,1.07848689,0.50227062,0.182595749,0.208341765,0.408859887,0.739868895,1.560999753,1.030193336,97,30
1,34,cell,MFG_3x3,3,10471,0,0,0.072008,0.44026,151.99,115.54,1.8809,0.5456,1.5957,0.36654,0.11393,0,0.31115,0.090536,0.024544,0.035145,0,0.023111,0.72601,0.04288,0.058543,0.0080222,0.51332,0.071244,0,0.48553,0.65973,1.1295,0.535269195,0.528854835,0.441683866,0.429836353,0.462320292,0.616166043,0.257985135,0.191880876,0.41807842,0,0,0.241122479,0.186515034,0,74,23
1,35,cell,MFG_3x3,2,3023,0,0,0.06219,0.4168,146.17,108.99,1.5045,0.16176,1.2961,0.31723,0.068144,0,0.23619,0.10056,0.061859,0.0076083,0,0.019848,0.7433,0.033741,0.064505,0.049289,0.72345,0.085346,0,0.64671,0.22362,0.81475,0.315124294,0.252921115,0.693291975,0.295771025,0.912759617,0.389564659,0,0,0,0,0.526594328,0.306808106,0,0,56,11
1,36,cell,MFG_3x3,2,10615,0,0,0.066415,0.46463,137.04,110.42,6.5028,0.67876,1.2224,0.36863,0.15638,0.0018841,0.23966,0.078474,0.051813,0.062553,0.024965,0.026943,0.46105,0.069053,0.056806,0.021196,0.40669,0.065191,0.030994,0.84767,0.22723,0.82619,0.599558586,0.637892862,0.661013237,0.523061973,0.616250337,0.668020412,0.479283587,0.134986394,0.449971064,0,0.311920418,0.359380313,0.627480505,0.345128712,96,24
1,37,cell,MFG_3x3,1,3897,0,0,0.16243,0.43803,117.95,90.424,1.0136,0.50629,0.61124,0.21658,0,0,0.15345,0.046189,0,0.035412,0.00051322,0.38825,0.28432,0.025661,0.04157,0,0.27072,0.050808,0.12292,0.021298,2.4496,1.6844,0,0,0,0.411580867,0.540368963,0,0.430617985,0.910054618,0,0.843908793,0.51263116,1.022689498,1.116363257,1.160005094,100,29
1,42,cell,MFG_3x3,2,5374,0,0,0.20822,0.52754,160.58,113.68,3.7633,0.15947,1.0901,0.3342,0.095646,0,0.21641,0.062151,0.065687,0.009118,0,0.018608,0.3422,0.010979,0.053033,0.04987,0.46111,0.088016,0,0.23316,5.861,2.6135,0.600021387,0.182389931,0.485026444,0.435741215,0.907948582,0.278146513,0,0,0.181030051,0,0.328726764,0.225389525,0,0,46,11
1,43,cell,MFG_3x3,2,9820,0,0,0.092872,0.29908,138.38,99.715,1.4791,0.55927,0.85163,0.29155,0.049796,0,0.19277,0.058859,0.058554,0.0019348,0,0.021385,0.32841,0.012016,0.046029,0.04888,0.37363,0.064358,0,0.86141,0.20906,0.80499,0.392396192,0.271090749,0.746310127,0.437683912,0.958052215,0.299122791,0,0,0,0,0.532101225,0.166131179,0,0,57,14
1,44,cell,MFG_3x3,1,3257,0,0,0.053423,0.25852,105.33,87.181,0.12987,0.46116,0.57998,0.21124,0.00030703,0,0.15444,0.056801,0,0.035002,0,0.040221,0.4934,0.015352,0.034387,0,0.47129,0.042677,0,0.00061406,0.17992,0.6942,0,0,0,0,0.496025522,0,0.544417622,0.313214692,0,0.491829872,0,0.339569734,0,0,60,16
1,45,cell,MFG_3x3,3,7080,0,0,0.086299,0.31003,123.43,103.73,2.1682,0.61681,1.4301,0.3404,0.036864,0,0.26088,0.076695,0.02274,0.025424,0,0.019068,0.67712,0.040113,0.05565,0.0028249,0.40989,0.057768,0,0.5065,0.22754,0.91017,0.375416626,0.405705546,0.35447328,0.294662556,0.543765032,0.495643328,0,0,0,0,0,0.238637987,0,0,53,9
1,46,cell,MFG_3x3,2,4454,0,0,0.11855,0.31522,123.08,100.77,8.6697,1.896,1.4481,0.359,0.037943,0,0.23844,0.075438,0.049394,0.017063,0,0.022901,0.24877,0.063089,0.043781,0.0024697,0.17378,0.056129,0,1.0375,0.22789,0.88684,0.533564505,0,0.694056556,0.166568641,0.558390841,0.850886197,0,0,0.297183772,0.113184122,0,0.165428029,0,0,64,18
1,47,cell,MFG_3x3,2,6051,0,0,0.10279,0.30375,122.19,107.36,6.8564,1.6047,1.2543,0.32424,0.015369,0,0.22327,0.067592,0.04082,0.026111,0,0.023798,0.2122,0.02545,0.050074,0.0016526,0.19104,0.051396,0,0.92448,0.28987,1.0507,0.512131329,0,0.684967142,0.279228447,0.636200598,0.656694219,0,0,0,0.166609824,0,0.158873111,0,0,54,10
1,48,cell,MFG_3x3,4,3235,0,0,0.043277,0.30077,106.61,97.586,0.74621,0.14374,1.0689,0.25595,0,0,0.22411,0.091808,0,0,0,0.017311,0.76971,0.0095827,0.05255,0.0034003,0.66121,0.054405,0,0.17774,0.57589,1.1332,0.289761958,0,0,0.298973881,0.451478313,0,0,0,0,0,0,0.255064426,0,0,3,1
1,49,cell,MFG_3x3,4,7540,0,0,0.056101,0.32573,105.86,99.488,1.7462,0.45743,1.2471,0.29257,0,0,0.25133,0.090981,0,0,0,0.018302,0.6817,0.059682,0.048011,0,0.54536,0.055172,0.010212,0.60252,0.26552,0.91393,0.285558116,0,0,0,0.494113269,0.326659621,0,0,0,0,0,0.499156918,0,0,21,1
1,50,cell,MFG_3x3,4,2219,0,0,0.074358,0.22938,97.548,76.444,4.1059,0.38936,0.98197,0.19288,0.028842,0,0.15232,0.064443,0.0081118,0.0085624,0,0.0085624,0.4119,0.001352,0.032898,0,0.35917,0.041009,0,0.11762,0.63182,0.96079,0.803488865,0.509483402,0.71346306,0.41669345,0.472601718,0,0,0,0.306295464,0,0,0.159073892,0,0,29,4
1,51,cell,MFG_3x3,2,7479,0,0,0.064982,0.35419,110.82,101.35,1.7692,0.24388,1.065,0.28761,0.040915,0,0.21647,0.080358,0.0714,0,0,0.019254,0.56331,0.011365,0.051611,0.037706,0.524,0.062575,0,0.73633,0.4879,1.0464,0.401159031,0.351956446,0.657783162,0.458406388,0.915265567,0,0.122744037,0,0,0,0.569855571,0.213650339,0,0,57,14
1,52,cell,MFG_3x3,1,2347,0,0,0.089476,0.25778,101.01,78.86,0.98764,0.73413,0.75373,0.20835,0,0,0.14529,0.050703,0.02173,0.11845,0,0.044738,0.41628,0.044312,0.032808,0,0.30677,0.046016,0,0.043886,0.53217,1.0422,0.28125542,0,0.223714773,0.72248062,0.632210606,0.397295812,0.450347887,0.346813901,0,0.886672927,0.57296161,0.390587181,0,0,60,16
1,53,cell,MFG_3x3,3,9745,0,0,0.066085,0.34469,108.65,102.99,0.88158,0.55054,1.1399,0.31124,0.014264,0,0.24813,0.10785,0.028733,0.01334,0,0.019908,0.78102,0.011596,0.05685,0.0014366,0.62453,0.059005,0,0.49861,0.2825,0.92981,0.953807413,0.810286978,1.101308136,0.544907911,0.500341573,0.328968385,0,0,0,0.264745115,0,0.280353273,0,0,91,22
1,54,cell,MFG_3x3,2,9386,0,0,0.057746,0.33987,105.16,100.21,0.35116,0.15949,0.81153,0.30311,0.14404,0,0.20999,0.080865,0.072235,0.0036224,0,0.017792,0.61357,0.0093757,0.055828,0.025677,0.5423,0.060622,0,0.65651,0.25687,0.89591,0.393205491,0.258977396,0.646104835,0.606640541,0.924017929,0,0,0,0,0,0.581895447,0.319264589,0,0,47,11
1,55,cell,MFG_3x3,3,12858,0,0,0.072017,0.36366,118.22,116.98,3.4524,0.45069,0.6571,0.36304,0.16301,0,0.16083,0.032976,0.016488,0.032742,0,0.019988,0.15523,0.036086,0.043553,0.004433,0.13532,0.042308,0,1.6528,0.33357,1.0602,0.59594385,0.48142388,0.755905529,0.26173246,0.274936577,0.598339565,0.363085405,0,0,0,0,0.131476828,0.301754598,0,92,22
1,56,cell,MFG_3x3,4,10095,0,0,0.076275,0.34839,110.25,108,0.97761,0.89401,1.1275,0.32462,0.026647,0,0.24586,0.081625,0.0096087,0.0022784,0,0.018425,0.60139,0.014364,0.055968,0.0039624,0.38583,0.052006,0.0023774,0.65111,0.2739,0.95423,0.275852258,0.200621504,0.336726579,0.556668286,0.49422242,0.33775929,0.247006349,0,0,0,0,0.233296344,0.283901083,0,25,2
1,57,cell,MFG_3x3,4,5243,0,0,0.060271,0.36163,116.04,121.04,3.0986,0.31909,0.76292,0.32977,0.061034,0,0.19016,0.052832,0.020599,0.019073,0,0.022888,0.26512,0.021934,0.050734,0.0034331,0.1976,0.052642,0,2.0345,0.33359,1.0843,0.191953282,0,0.858713835,0.184508948,0.44753453,0,0,0,0,0,0,0.163918022,0,0,14,2
1,58,cell,MFG_3x3,1,7171,0,0,0.068331,0.31,107.45,93.588,2.4421,0.99456,0.83238,0.27681,0,0,0.17125,0.069307,0.022312,0.21796,0,0.13443,0.26691,0.0052991,0.038628,0.0064147,0.22605,0.054804,0.048529,0.39311,0.20918,0.87115,0.277277007,0,0.436319078,0.422099881,0.681076119,0.830691886,1.00703138,0.929404286,0,0.930068379,1.326857757,0.620096788,0.736693645,0.591096837,100,29
1,59,cell,MFG_3x3,3,11462,0,0,0.057931,0.381,113.56,113.5,3.0147,0.18304,0.9877,0.3714,0.038213,0,0.20284,0.055924,0.012999,0.013174,0.00052347,0.01867,0.40159,0.013959,0.053219,0.0026173,0.2893,0.045891,0,1.6366,0.3078,1.0027,0.350650661,0.341501691,0.738024705,0.265316901,0.38155977,0.348130402,0,0,0,0,0,0.177304984,0,0,53,9
1,60,cell,MFG_3x3,3,12607,0,0,0.065043,0.34124,105.53,108.31,2.1229,0.11866,0.70286,0.41033,0.29492,0,0.18783,0.043944,0.044499,0.061632,0,0.022131,0.22503,0.04434,0.046561,0.0083287,0.17324,0.052273,0,1.3838,0.2221,0.81518,0.851423377,0.613997617,0.766840592,0.47296529,0.446383729,0.737481236,0.311306049,0,0,0,0.29085608,0.166816382,0,0,93,22
1,61,cell,MFG_3x3,3,9493,0,0,0.06963,0.38513,110.78,108.17,1.6576,0.83925,1.3984,0.35121,0.15633,0,0.27462,0.096281,0.024439,0.019804,0,0.021384,0.75856,0.031813,0.076372,0.0054777,0.50753,0.056989,0,0.84599,0.29864,0.96155,0.610339036,0.481498901,0.560666213,0.53645403,0.439088938,0.475368109,0.411998636,0,0,0,0,0.289332166,0.420648264,0,73,22
1,62,cell,MFG_3x3,1,10083,0,0,0.07468,0.313,94.974,93.637,0.63434,0.44858,0.84816,0.26441,0.029158,0,0.21135,0.067539,0.0055539,0.075374,9.92E-05,0.14609,0.5781,0.036695,0.046514,0.0045621,0.41406,0.052564,0.02767,0.30973,0.15829,0.58485,0.216923149,0.268711001,0.395110748,0.616895692,0.573912947,0.304205776,0.727321255,0.705593852,0,0.787900494,0.248701761,0.723289738,0.845178386,0.800409003,100,29
1,63,cell,MFG_3x3,3,15708,0,0,0.049593,0.30698,107.32,106.06,3.3257,0.33015,1.098,0.37751,0.17119,0,0.20779,0.052521,0.026165,0.050738,0,0.023555,0.28966,0.030494,0.050993,0.004711,0.22186,0.056341,0,1.6597,0.26808,1.006,0.582242198,0.557565574,0.819798913,0.564674162,0.400187478,0.716674556,0.330497057,0,0.319045041,0,0.144835634,0.169169977,0.296066927,0,84,23
1,64,cell,MFG_3x3,4,4482,0,0,0.063365,0.24699,83.26,84.744,0.27889,0.13833,0.89804,0.24476,0.023204,0,0.14904,0.067381,0,0,0,0.013387,0.45962,0.002008,0.042615,0.0013387,0.36368,0.035921,0,0.22579,0.34159,0.74721,0.202256815,0,0,0.209423095,0.36488259,0,0,0,0,0,0,0.22065128,0,0,3,1
1,65,cell,MFG_3x3,3,4593,0,0,0.089049,0.3292,98.494,96.833,6.5876,1.2378,1.1099,0.31439,0.086436,0,0.20705,0.082735,0.025038,0.013499,0,0.020684,0.34661,0.071195,0.04681,0,0.2789,0.04877,0,0.89397,0.1572,0.65121,0.681504453,0.494180635,0.503674991,0,0.537278078,0.650036773,0.472360525,0,0,0,0,0.169719191,0,0,71,22
1,66,cell,MFG_3x3,3,11204,0,0,0.051321,0.29177,107.84,99.121,3.325,0.77062,1.2778,0.43609,0.358,0.00044627,0.24893,0.07533,0.05498,0.11344,0,0.026419,0.40307,0.065512,0.063192,0.015352,0.26035,0.063459,0.0034809,1.6976,0.27178,1.0559,0.827336077,0.838402156,0.877083299,0.542279458,0.41675319,0.904258083,0.548937417,0.263300732,0.242316093,0,0.327548509,0.205129642,0.45171727,0.266299102,95,23
1,67,cell,MFG_3x3,1,3070,0,0,0.12834,0.2684,78.172,79.212,1.8368,0.9114,0.70358,0.2228,0,0,0.19283,0.035505,0.0081433,0.21629,0,0.075896,0.48632,0.00032573,0.037134,0,0.1987,0.044951,0.010749,0.2557,0.11336,0.4456,0,0,0,0.330821367,0.65179861,0,0.653678164,0.57837267,0,0.836252555,0.61206413,0.613288463,0.707466046,0.556442796,80,27
1,68,cell,MFG_3x3,3,12142,0,0,0.07017,0.33833,102.96,107.33,1.7299,0.74889,1.1563,0.32919,0.043568,0,0.23423,0.070334,0.0074946,0.0080712,0,0.020507,0.50214,0.056498,0.049745,0.0030473,0.35464,0.049909,0,0.94836,0.18506,0.74848,0.358460385,0.211037635,0.432319306,0.428465374,0.33604975,0.463494525,0,0,0,0,0,0.173711119,0,0,43,9
